UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
CE;23;00101;Abaiara;11.663
CE;23;00150;Acarape;15.399
CE;23;00200;Acaraú;62.557
CE;23;00309;Acopiara;53.931
CE;23;00408;Aiuaba;17.303
CE;23;00507;Alcântaras;11.529
CE;23;00606;Altaneira;7.521
CE;23;00705;Alto Santo;17.096
CE;23;00754;Amontada;43.131
CE;23;00804;Antonina do Norte;7.328
CE;23;00903;Apuiarés;14.814
CE;23;01000;Aquiraz;79.563
CE;23;01109;Aracati;74.084
CE;23;01208;Aracoiaba;26.437
CE;23;01257;Ararendá;10.901
CE;23;01307;Araripe;21.550
CE;23;01406;Aratuba;11.346
CE;23;01505;Arneiroz;7.836
CE;23;01604;Assaré;23.417
CE;23;01703;Aurora;24.699
CE;23;01802;Baixio;6.272
CE;23;01851;Banabuiú;18.151
CE;23;01901;Barbalha;60.155
CE;23;01950;Barreira;22.362
CE;23;02008;Barro;22.593
CE;23;02057;Barroquinha;14.989
CE;23;02107;Baturité;35.575
CE;23;02206;Beberibe;53.421
CE;23;02305;Bela Cruz;32.593
CE;23;02404;Boa Viagem;54.440
CE;23;02503;Brejo Santo;49.109
CE;23;02602;Camocim;63.408
CE;23;02701;Campos Sales;27.409
CE;23;02800;Canindé;78.049
CE;23;02909;Capistrano;17.793
CE;23;03006;Caridade;22.427
CE;23;03105;Cariré;18.802
CE;23;03204;Caririaçu;27.095
CE;23;03303;Cariús;18.950
CE;23;03402;Carnaubal;17.747
CE;23;03501;Cascavel;71.499
CE;23;03600;Catarina;20.562
CE;23;03659;Catunda;10.437
CE;23;03709;Caucaia;363.982
CE;23;03808;Cedro;25.249
CE;23;03907;Chaval;13.047
CE;23;03931;Choró;13.476
CE;23;03956;Chorozinho;19.345
CE;23;04004;Coreaú;23.258
CE;23;04103;Crateús;74.982
CE;23;04202;Crato;131.372
CE;23;04236;Croatá;17.994
CE;23;04251;Cruz;24.131
CE;23;04269;Deputado Irapuan Pinheiro;9.585
CE;23;04277;Ererê;7.211
CE;23;04285;Eusébio;52.880
CE;23;04301;Farias Brito;18.882
CE;23;04350;Forquilha;24.169
CE;23;04400;Fortaleza;2.643.247
CE;23;04459;Fortim;16.357
CE;23;04509;Frecheirinha;13.758
CE;23;04608;General Sampaio;6.956
CE;23;04657;Graça;15.423
CE;23;04707;Granja;54.729
CE;23;04806;Granjeiro;4.469
CE;23;04905;Groaíras;11.076
CE;23;04954;Guaiúba;26.472
CE;23;05001;Guaraciaba do Norte;39.713
CE;23;05100;Guaramiranga;3.595
CE;23;05209;Hidrolândia;20.352
CE;23;05233;Horizonte;66.114
CE;23;05266;Ibaretama;13.317
CE;23;05308;Ibiapina;24.995
CE;23;05332;Ibicuitinga;12.419
CE;23;05357;Icapuí;19.804
CE;23;05407;Icó;67.972
CE;23;05506;Iguatu;103.255
CE;23;05605;Independência;26.168
CE;23;05654;Ipaporanga;11.587
CE;23;05704;Ipaumirim;12.439
CE;23;05803;Ipu;41.873
CE;23;05902;Ipueiras;38.205
CE;23;06009;Iracema;14.227
CE;23;06108;Irauçuba;24.003
CE;23;06207;Itaiçaba;7.787
CE;23;06256;Itaitinga;39.518
CE;23;06306;Itapajé;52.240
CE;23;06405;Itapipoca;128.135
CE;23;06504;Itapiúna;20.133
CE;23;06553;Itarema;41.445
CE;23;06603;Itatira;20.786
CE;23;06702;Jaguaretama;18.102
CE;23;06801;Jaguaribara;11.359
CE;23;06900;Jaguaribe;34.729
CE;23;07007;Jaguaruana;33.967
CE;23;07106;Jardim;27.284
CE;23;07205;Jati;7.902
CE;23;07254;Jijoca de Jericoacoara;19.587
CE;23;07304;Juazeiro do Norte;271.926
CE;23;07403;Jucás;24.773
CE;23;07502;Lavras da Mangabeira;31.584
CE;23;07601;Limoeiro do Norte;59.278
CE;23;07635;Madalena;19.906
CE;23;07650;Maracanaú;226.128
CE;23;07700;Maranguape;127.098
CE;23;07809;Marco;27.127
CE;23;07908;Martinópole;11.143
CE;23;08005;Massapê;38.424
CE;23;08104;Mauriti;46.854
CE;23;08203;Meruoca;15.030
CE;23;08302;Milagres;28.466
CE;23;08351;Milhã;13.241
CE;23;08377;Miraíma;13.669
CE;23;08401;Missão Velha;35.662
CE;23;08500;Mombaça;44.060
CE;23;08609;Monsenhor Tabosa;17.167
CE;23;08708;Morada Nova;62.069
CE;23;08807;Moraújo;8.689
CE;23;08906;Morrinhos;22.354
CE;23;09003;Mucambo;14.485
CE;23;09102;Mulungu;12.892
CE;23;09201;Nova Olinda;15.520
CE;23;09300;Nova Russas;32.262
CE;23;09409;Novo Oriente;28.557
CE;23;09458;Ocara;25.557
CE;23;09508;Orós;21.471
CE;23;09607;Pacajus;71.193
CE;23;09706;Pacatuba;83.157
CE;23;09805;Pacoti;12.046
CE;23;09904;Pacujá;6.246
CE;23;10001;Palhano;9.348
CE;23;10100;Palmácia;13.214
CE;23;10209;Paracuru;34.097
CE;23;10258;Paraipaba;32.700
CE;23;10308;Parambu;31.398
CE;23;10407;Paramoti;11.664
CE;23;10506;Pedra Branca;43.160
CE;23;10605;Penaforte;9.010
CE;23;10704;Pentecoste;37.326
CE;23;10803;Pereiro;16.281
CE;23;10852;Pindoretama;20.748
CE;23;10902;Piquet Carneiro;16.827
CE;23;10951;Pires Ferreira;10.853
CE;23;11009;Poranga;12.334
CE;23;11108;Porteiras;15.047
CE;23;11207;Potengi;10.986
CE;23;11231;Potiretama;6.400
CE;23;11264;Quiterianópolis;21.000
CE;23;11306;Quixadá;87.116
CE;23;11355;Quixelô;14.986
CE;23;11405;Quixeramobim;79.081
CE;23;11504;Quixeré;22.008
CE;23;11603;Redenção;27.633
CE;23;11702;Reriutaba;18.945
CE;23;11801;Russas;76.884
CE;23;11900;Saboeiro;15.808
CE;23;11959;Salitre;16.435
CE;23;12007;Santana do Acaraú;32.216
CE;23;12106;Santana do Cariri;17.622
CE;23;12205;Santa Quitéria;43.695
CE;23;12304;São Benedito;46.949
CE;23;12403;São Gonçalo do Amarante;48.516
CE;23;12502;São João do Jaguaribe;7.691
CE;23;12601;São Luís do Curu;12.938
CE;23;12700;Senador Pompeu;26.664
CE;23;12809;Senador Sá;7.553
CE;23;12908;Sobral;206.644
CE;23;13005;Solonópole;18.291
CE;23;13104;Tabuleiro do Norte;30.695
CE;23;13203;Tamboril;25.731
CE;23;13252;Tarrafas;8.926
