UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
CE;23;00101;Abaiara;11.483
CE;23;00150;Acarape;16.418
CE;23;00200;Acaraú;61.715
CE;23;00309;Acopiara;53.358
CE;23;00408;Aiuaba;17.098
CE;23;00507;Alcântaras;11.391
CE;23;00606;Altaneira;7.413
CE;23;00705;Alto Santo;16.927
CE;23;00754;Amontada;42.508
CE;23;00804;Antonina do Norte;7.253
CE;23;00903;Apuiarés;14.644
CE;23;01000;Aquiraz;78.438
CE;23;01109;Aracati;73.188
CE;23;01208;Aracoiaba;26.203
CE;23;01257;Ararendá;10.800
CE;23;01307;Araripe;21.345
CE;23;01406;Aratuba;11.300
CE;23;01505;Arneiroz;7.774
CE;23;01604;Assaré;23.191
CE;23;01703;Aurora;24.548
CE;23;01802;Baixio;6.214
CE;23;01851;Banabuiú;17.968
CE;23;01901;Barbalha;59.343
CE;23;01950;Barreira;20.835
CE;23;02008;Barro;22.361
CE;23;02057;Barroquinha;14.854
CE;23;02107;Baturité;35.154
CE;23;02206;Beberibe;52.719
CE;23;02305;Bela Cruz;32.243
CE;23;02404;Boa Viagem;53.945
CE;23;02503;Brejo Santo;48.451
CE;23;02602;Camocim;62.734
CE;23;02701;Campos Sales;27.167
CE;23;02800;Canindé;77.261
CE;23;02909;Capistrano;17.621
CE;23;03006;Caridade;22.065
CE;23;03105;Cariré;18.653
CE;23;03204;Caririaçu;26.876
CE;23;03303;Cariús;18.807
CE;23;03402;Carnaubal;17.549
CE;23;03501;Cascavel;70.574
CE;23;03600;Catarina;20.269
CE;23;03659;Catunda;10.331
CE;23;03709;Caucaia;358.164
CE;23;03808;Cedro;25.038
CE;23;03907;Chaval;12.931
CE;23;03931;Choró;13.340
CE;23;03956;Chorozinho;19.194
CE;23;04004;Coreaú;23.000
CE;23;04103;Crateús;74.350
CE;23;04202;Crato;129.662
CE;23;04236;Croatá;17.802
CE;23;04251;Cruz;23.833
CE;23;04269;Deputado Irapuan Pinheiro;9.483
CE;23;04277;Ererê;7.134
CE;23;04285;Eusébio;51.913
CE;23;04301;Farias Brito;18.789
CE;23;04350;Forquilha;23.801
CE;23;04400;Fortaleza;2.609.716
CE;23;04459;Fortim;16.115
CE;23;04509;Frecheirinha;13.606
CE;23;04608;General Sampaio;6.845
CE;23;04657;Graça;15.300
CE;23;04707;Granja;54.146
CE;23;04806;Granjeiro;4.459
CE;23;04905;Groaíras;10.931
CE;23;04954;Guaiúba;26.091
CE;23;05001;Guaraciaba do Norte;39.301
CE;23;05100;Guaramiranga;3.632
CE;23;05209;Hidrolândia;20.136
CE;23;05233;Horizonte;64.673
CE;23;05266;Ibaretama;13.203
CE;23;05308;Ibiapina;24.739
CE;23;05332;Ibicuitinga;12.242
CE;23;05357;Icapuí;19.554
CE;23;05407;Icó;67.345
CE;23;05506;Iguatu;102.013
CE;23;05605;Independência;25.962
CE;23;05654;Ipaporanga;11.499
CE;23;05704;Ipaumirim;12.327
CE;23;05803;Ipu;41.485
CE;23;05902;Ipueiras;37.957
CE;23;06009;Iracema;14.098
CE;23;06108;Irauçuba;23.704
CE;23;06207;Itaiçaba;7.698
CE;23;06256;Itaitinga;38.933
CE;23;06306;Itapajé;51.538
CE;23;06405;Itapipoca;126.234
CE;23;06504;Itapiúna;19.872
CE;23;06553;Itarema;40.822
CE;23;06603;Itatira;20.484
CE;23;06702;Jaguaretama;17.977
CE;23;06801;Jaguaribara;11.200
CE;23;06900;Jaguaribe;34.503
CE;23;07007;Jaguaruana;33.607
CE;23;07106;Jardim;27.074
CE;23;07205;Jati;7.827
CE;23;07254;Jijoca de Jericoacoara;19.224
CE;23;07304;Juazeiro do Norte;268.248
CE;23;07403;Jucás;24.540
CE;23;07502;Lavras da Mangabeira;31.359
CE;23;07601;Limoeiro do Norte;58.552
CE;23;07635;Madalena;19.616
CE;23;07650;Maracanaú;223.188
CE;23;07700;Maranguape;125.058
CE;23;07809;Marco;26.738
CE;23;07908;Martinópole;10.990
CE;23;08005;Massapê;37.892
CE;23;08104;Mauriti;46.335
CE;23;08203;Meruoca;14.814
CE;23;08302;Milagres;28.292
CE;23;08351;Milhã;13.152
CE;23;08377;Miraíma;13.507
CE;23;08401;Missão Velha;35.326
CE;23;08500;Mombaça;43.678
CE;23;08609;Monsenhor Tabosa;17.025
CE;23;08708;Morada Nova;61.722
CE;23;08807;Moraújo;8.579
CE;23;08906;Morrinhos;22.067
CE;23;09003;Mucambo;14.367
CE;23;09102;Mulungu;12.682
CE;23;09201;Nova Olinda;15.310
CE;23;09300;Nova Russas;31.954
CE;23;09409;Novo Oriente;28.288
CE;23;09458;Ocara;25.261
CE;23;09508;Orós;21.342
CE;23;09607;Pacajus;69.877
CE;23;09706;Pacatuba;81.627
CE;23;09805;Pacoti;11.936
CE;23;09904;Pacujá;6.186
CE;23;10001;Palhano;9.248
CE;23;10100;Palmácia;13.022
CE;23;10209;Paracuru;33.665
CE;23;10258;Paraipaba;32.256
CE;23;10308;Parambu;31.213
CE;23;10407;Paramoti;11.564
CE;23;10506;Pedra Branca;42.795
CE;23;10605;Penaforte;8.888
CE;23;10704;Pentecoste;36.928
CE;23;10803;Pereiro;16.139
CE;23;10852;Pindoretama;20.430
CE;23;10902;Piquet Carneiro;16.599
CE;23;10951;Pires Ferreira;10.730
CE;23;11009;Poranga;12.234
CE;23;11108;Porteiras;14.965
CE;23;11207;Potengi;10.856
CE;23;11231;Potiretama;6.337
CE;23;11264;Quiterianópolis;20.777
CE;23;11306;Quixadá;85.991
CE;23;11355;Quixelô;14.903
CE;23;11405;Quixeramobim;77.931
CE;23;11504;Quixeré;21.728
CE;23;11603;Redenção;27.358
CE;23;11702;Reriutaba;18.889
CE;23;11801;Russas;75.762
CE;23;11900;Saboeiro;15.715
CE;23;11959;Salitre;16.248
CE;23;12007;Santana do Acaraú;31.814
CE;23;12106;Santana do Cariri;17.479
CE;23;12205;Santa Quitéria;43.359
CE;23;12304;São Benedito;46.414
CE;23;12403;São Gonçalo do Amarante;47.791
CE;23;12502;São João do Jaguaribe;7.670
CE;23;12601;São Luís do Curu;12.805
CE;23;12700;Senador Pompeu;26.496
CE;23;12809;Senador Sá;7.442
CE;23;12908;Sobral;203.682
CE;23;13005;Solonópole;18.127
CE;23;13104;Tabuleiro do Norte;30.378
CE;23;13203;Tamboril;25.560
CE;23;13252;Tarrafas;8.875
CE;23;13302;Tauá;57.914
CE;23;13351;Tejuçuoca;18.709
CE;23;13401;Tianguá;74.107
CE;23;13500;Trairi;54.820
CE;23;13559;Tururu;15.768
CE;23;13609;Ubajara;34.068
CE;23;13708;Umari;7.668
CE;23;13757;Umirim;19.602
CE;23;13807;Uruburetama;21.411
CE;23;13906;Uruoca;13.600
CE;23;13955;Varjota;18.188
CE;23;14003;Várzea Alegre;40.255
CE;23;14102;Viçosa do Ceará;59.487
