Município,Código,Gentílico,Prefeito [2017],Área Territorial - km2 [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km2 [2010],Escolarização 6 a 14 anos % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (X1000) [2017],Despesas empenhadas - R$ (X1000) [2017],PIB per capita - R$ [2018],
Jaguaretama,2306702,jaguaretamense,FRANCISCO GLAIRTON RABELO CUNHA,1826.826,18133,10.15,96.7,0.612,18.6,49201.83037,35976.64248,8548.15,
Jaguaribara,2306801,jaguaribarense,JOACY ALVES DOS SANTOS JUNIOR,622.963,11580,15.55,97.4,0.618,13.99,28167.84306,26656.01281,11343.44,
Jaguaribe,2306900,jaguaribano,ALEXANDRE GOMES DIOGENES,1877.062,34592,18.33,96.4,0.621,15.25,85507.21442,82644.15907,16763.71,
Jaguaruana,2307007,jaguaruanense,ROBERTO BARBOSA MOREIRA,854.362,33960,37.16,98.4,0.624,10.81,69049.41624,69046.51936,11683.11,
Jardim,2307106,jardinense,ANIZIARIO JORGE COSTA,544.980,27187,48.31,98.4,0.614,4.82,58468.86665,52203.50615,7529.39,
Jati,2307205,jatiense,MONICA ROSANY PEREIRA MARIANO,368.359,8150,21.21,98.1,0.651,15.15,32089.96358,28222.35564,12184.14,
Jijoca de Jericoacoara,2307254,jijoquense,LINDBERGH MARTINS,209.029,20351,83.02,98.8,0.652,14.39,62313.16657,60923.78966,17740.75,
Juazeiro do Norte,2307304,juazeirense,GLÊDSON LIMA BEZERRA,258.788,278264,1004.45,97.3,0.694,12.51,672950.28823,522709.24412,17725.62,
Jucás,2307403,jucaense,JOSE EDSONRIVA SOUZA CUNHA,940.336,24949,25.40,97.5,0.598,19.74,55718.34201,53527.80103,9024.13,
Lavras da Mangabeira,2307502,lavrense ou lavraense,RONALDO PEDROSA LIMA,945.263,31476,32.80,97.2,0.613,17.14,67220.81129,56816.99038,8139.37,
Limoeiro do Norte,2307601,limoeirense,JOSÉ MARIA DE OLIVEIRA LUCENA,744.525,60232,74.91,98,0.682,16.44,115645.24638,106746.35266,15961.09,
Madalena,2307635,madalenense,MARIA SÔNIA DE OLIVEIRA COSTA,997.781,20031,17.48,98.3,0.610,5.05,41301.98044,39124.62753,6435.63,
Maracanaú,2307650,maracanauense,ROBERTO SOARES PESSOA,105.071,230986,1960.25,97.4,0.686,8.36,724429.98265,657108.09501,46240.54,
Maranguape,2307700,maranguapense,ATILA CORDEIRO CAMARA,583.505,131677,192.19,94.9,0.659,11.87,197385.57777,193904.06851,11788.59,
Marco,2307809,marquense,ROGER NEVES AGUIAR,573.610,27822,43.03,97.4,0.612,13.11,64664.2363,57587.68763,11895.32,
Martinópole,2307908,martinolopolitano ou martinolopense,FRANCISCO FONTENELE JUNIOR,303.445,11407,34.16,97.8,0.599,5.81,30155.02181,29615.54391,6793.18,
Massapê,2308005,massapeense,ALINE AGUIAR ALBUQUERQUE,567.780,39341,62.11,98.3,0.616,12.92,101272.15812,81630.43037,7143.58,
Mauriti,2308104,mauritiense,ISAAC GOMES DA SILVA JUNIOR,1079.011,48370,42.15,98.1,0.605,12.57,88623.54391,87085.54274,8624.33,
Meruoca,2308203,meruoquense,JOSÉ HERTON ALVES DE SOUSA,151.651,15309,91.38,97.8,0.618,20.24,40227.84038,35949.35702,6681.85,
Milagres,2308302,milagrense,CÍCERO ALVES DE FIGUEIREDO,579.097,27413,46.69,96.2,0.628,10.42,62154.81674,53491.71754,7955.64,
Milhã,2308351,milhaense,LUIZ ALAN PINHEIRO MACÊDO,502.137,13129,26.05,97.5,0.626,6.67,35731.74713,31509.00394,9674.79,
Miraíma,2308377,miraimense,ANTONIO EDNARDO BRAGA LIMA FILHO,708.678,13965,18.29,98.6,0.592,14.42,31540.70901,31469.47985,6253.17,
Missão Velha,2308401,missãovelhense,DIEGO GONDIM FEITOSA,613.317,35566,53.08,96.8,0.622,23.53,75644.0299,68822.84345,13585.53,
Mombaça,2308500,mombacense,ORLANDO BENEVIDES CAVALCANTE FILHO,2115.748,43917,20.14,96.4,0.582,1.96,82316.49363,75706.9863,7369.18,
Monsenhor Tabosa,2308609,tabosense,FRANCISCO SALOMÃO DE ARAÚJO SOUSA,892.538,17264,18.85,99.2,0.610,4.07,44058.07424,43438.91752,7436.65,
Morada Nova,2308708,morada-novense,JOSÉ VANDERLEY NOGUEIRA,2763.971,61590,22.33,97.6,0.610,9.1,138124.47818,127183.74765,15430.56,
Moraújo,2308807,moraujense,CARLOS ÁQUILA CUNHA DE QUEIROZ,414.446,8833,19.42,97.4,0.581,7.19,22274.27278,21764.31104,7141.58,
Morrinhos,2308906,morrinhense,JERONIMO NETO BRANDÃO,411.586,22830,49.81,95.1,0.588,21.88,50690.40271,43150.09189,6198.22,
