Município,Código,Gentílico,Prefeito [2017],Área Territorial - km2 [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km2 [2010],Escolarização 6 a 14 anos % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (X1000) [2017],Despesas empenhadas - R$ (X1000) [2017],PIB per capita - R$ [2018],
Santana do Acaraú,2312007,santanense-do-acaraú,FRANCISCO DAS CHAGAS MENDES,972.573,32851,30.89,95.4,0.587,13.99,60165.60352,59824.66124,6705.45,
Santana do Cariri,2312106,santanense-do-cariri,SAMUEL CIDADE WERTON,855.165,17726,20.07,97.9,0.612,6.97,57498.64883,50533.47256,6921.76,
Santa Quitéria,2312205,quiteriense,JOSÉ BRAGA BARROZO,4262.298,43719,10.04,97.6,0.616,23.68,87598.63375,80916.4089,10095.69,
São Benedito,2312304,beneditense,SAUL LIMA MACIEL,350.847,48354,130.61,98.1,0.611,15.7,107397.28599,92516.11779,10796.05,
São Gonçalo do Amarante,2312403,gonçalense,MARCELO FERREIRA TELES,842.635,49306,52.60,98.1,0.665,16.06,252306.83358,219614.33442,87086.02,
São João do Jaguaribe,2312502,jaguaribense,RAIMUNDO CESAR MORAIS MAIA,279.451,7557,28.17,99.2,0.654,24.69,21311.30681,18661.53561,11662.20,
São Luís do Curu,2312601,curuense,FRANCISCO CIPRIANO DE ALMEIDA,122.865,13086,100.74,95.4,0.620,5.81,29335.08881,24687.03039,8042.90,
Senador Pompeu,2312700,pompeuense,ANTÔNIO MAURÍCIO PINHEIRO JUCÁ,956.882,25418,26.41,96.4,0.619,21.74,58035.9837,52551.18314,11443.71,
Senador Sá,2312809,senadorsaense,JOSE MARTINS BARROS JUNIOR,424.642,7758,16.16,98.2,0.603,9.26,16444.7424,21791.74248,6992.89,
Sobral,2312908,sobralense,IVO FERREIRA GOMES,2068.474,212437,88.67,97.9,0.714,6.44,620503.26479,574656.93699,23104.70,
Solonópole,2313005,solonopolense,ANA VLADIA NOGUEIRA PINHEIRO JUCÁ,1535.855,18389,11.50,98.6,0.625,23.04,54727.68971,49746.31073,10514.05,
Tabuleiro do Norte,2313104,tabuleirense,RILDSON RABELO VASCONCELOS,849.145,32079,33.89,97.4,0.645,15.46,60758.96795,53068.85358,10276.06,
Tamboril,2313203,tamborilense,LUIZ MARCELO MOTA LEITE,2014.543,26199,12.98,97.1,0.580,11.8,73205.88552,68105.22591,7947.74,
Tarrafas,2313252,tarrafense,TERTULIANO CANDIDO MARTINS DE ARAUJO,412.719,8555,19.61,96.8,0.576,20.2,22118.1679,22655.93516,6788.95,
Tauá,2313302,tauaense,PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR,4010.618,59259,13.87,97.7,0.633,12.94,136028.13652,135713.29548,10253.80,
Tejuçuoca,2313351,tejuçuoquense,JOSE ANTUNIZIO DE BRITO,758.707,19551,22.42,98.3,0.584,31.53,51853.41777,43425.04017,5555.49,
Tianguá,2313401,tianguaense,LUIZ MENEZES DE LIMA,909.853,77111,75.80,98,0.657,11.56,152865.84876,148371.08625,17463.86,
Trairi,2313500,trairiense,CARLOS GUSTAVO MONTEIRO MOREIRA,928.725,56653,55.55,98.1,0.606,12.26,109451.09277,107186.91603,14855.42,
Tururu,2313559,tururuense,FRANCISCA HILZETE MALVEIRA BATISTA,201.270,16588,71.23,96.2,0.606,24.69,38075.48124,31969.73697,6539.47,
Ubajara,2313609,ubajarense,RENÊ DE ALMEIDA VASCONCELOS,423.673,35295,75.50,98.7,0.648,13.42,84777.89878,63907.03794,16719.18,
Umari,2313708,umariense,ALEX SANDRO RUFINO FERREIRA,263.183,7740,28.59,96.5,0.591,-,203.81705,18511.25613,6863.11,
Umirim,2313757,umiriense,FELIPE CARLOS UCHÔA SALES RIBEIRO,315.648,19976,59.35,95.6,0.587,17.73,62155.59944,45115.41853,7754.01,
Uruburetama,2313807,uruburetamense,FRANCISCO ALDIR CHAVES DA SILVA,99.400,22223,203.61,95.9,0.639,28.42,46252.58477,42868.59476,16358.24,
Uruoca,2313906,uruoquense,JAN KENNEDY PAIVA AQUINO,697.683,13988,18.49,97.7,0.566,10.05,36175.66262,34549.30811,12289.43,
Varjota,2313955,varjotense,FRANCISCO ELMO BEZERRA MONTE,179.239,18520,98.07,96.6,0.611,3.66,51275.61286,47814.72672,14244.64,
Várzea Alegre,2314003,varzea-alegrense,JOSÉ HELDER MÁXIMO DE CARVALHO,829.976,41078,45.99,97,0.629,4.02,79368.15813,71300.30285,8756.89,
Viçosa do Ceará,2314102,viçosense,JOSE FIRMINO DE ARRUDA,1310.910,61916,41.90,96.9,0.571,7.1,126024.78879,104188.07011,7202.63,
