UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
CE;23;00101;Abaiara;11.226
CE;23;00150;Acarape;16.153
CE;23;00200;Acaraú;60.684
CE;23;00309;Acopiara;52.903
CE;23;00408;Aiuaba;16.893
CE;23;00507;Alcântaras;11.247
CE;23;00606;Altaneira;7.271
CE;23;00705;Alto Santo;16.823
CE;23;00754;Amontada;41.672
CE;23;00804;Antonina do Norte;7.200
CE;23;00903;Apuiarés;14.483
CE;23;01000;Aquiraz;76.967
CE;23;01109;Aracati;72.248
CE;23;01208;Aracoiaba;26.062
CE;23;01257;Ararendá;10.750
CE;23;01307;Araripe;21.230
CE;23;01406;Aratuba;11.419
CE;23;01505;Arneiroz;7.768
CE;23;01604;Assaré;23.058
CE;23;01703;Aurora;24.658
CE;23;01802;Baixio;6.182
CE;23;01851;Banabuiú;17.842
CE;23;01901;Barbalha;58.347
CE;23;01950;Barreira;20.532
CE;23;02008;Barro;22.193
CE;23;02057;Barroquinha;14.800
CE;23;02107;Baturité;34.735
CE;23;02206;Beberibe;51.885
CE;23;02305;Bela Cruz;31.956
CE;23;02404;Boa Viagem;53.725
CE;23;02503;Brejo Santo;47.645
CE;23;02602;Camocim;62.201
CE;23;02701;Campos Sales;27.077
CE;23;02800;Canindé;76.724
CE;23;02909;Capistrano;17.523
CE;23;03006;Caridade;21.524
CE;23;03105;Cariré;18.637
CE;23;03204;Caririaçu;26.840
CE;23;03303;Cariús;18.813
CE;23;03402;Carnaubal;17.374
CE;23;03501;Cascavel;69.498
CE;23;03600;Catarina;19.882
CE;23;03659;Catunda;10.257
CE;23;03709;Caucaia;349.526
CE;23;03808;Cedro;24.986
CE;23;03907;Chaval;12.888
CE;23;03931;Choró;13.246
CE;23;03956;Chorozinho;19.189
CE;23;04004;Coreaú;22.773
CE;23;04103;Crateús;74.188
CE;23;04202;Crato;127.657
CE;23;04236;Croatá;17.650
CE;23;04251;Cruz;23.514
CE;23;04269;Deputado Irapuan Pinheiro;9.403
CE;23;04277;Ererê;7.073
CE;23;04285;Eusébio;50.308
CE;23;04301;Farias Brito;18.937
CE;23;04350;Forquilha;23.276
CE;23;04400;Fortaleza 2;571.896
CE;23;04459;Fortim;15.781
CE;23;04509;Frecheirinha;13.473
CE;23;04608;General Sampaio;6.679
CE;23;04657;Graça;15.287
CE;23;04707;Granja;53.682
CE;23;04806;Granjeiro;4.531
CE;23;04905;Groaíras;10.759
CE;23;04954;Guaiúba;25.581
CE;23;05001;Guaraciaba do Norte;38.995
CE;23;05100;Guaramiranga;3.812
CE;23;05209;Hidrolândia;19.970
CE;23;05233;Horizonte;62.002
CE;23;05266;Ibaretama;13.172
CE;23;05308;Ibiapina;24.555
CE;23;05332;Ibicuitinga;12.012
CE;23;05357;Icapuí;19.276
CE;23;05407;Icó;67.045
CE;23;05506;Iguatu;100.733
CE;23;05605;Independência;25.952
CE;23;05654;Ipaporanga;11.500
CE;23;05704;Ipaumirim;12.281
CE;23;05803;Ipu;41.292
CE;23;05902;Ipueiras;38.089
CE;23;06009;Iracema;14.042
CE;23;06108;Irauçuba;23.376
CE;23;06207;Itaiçaba;7.612
CE;23;06256;Itaitinga;38.131
CE;23;06306;Itapagé;50.671
CE;23;06405;Itapipoca;123.613
CE;23;06504;Itapiúna;19.570
CE;23;06553;Itarema;39.955
CE;23;06603;Itatira;20.077
CE;23;06702;Jaguaretama;18.018
CE;23;06801;Jaguaribara;10.999
CE;23;06900;Jaguaribe;34.621
CE;23;07007;Jaguaruana;33.324
CE;23;07106;Jardim;27.069
CE;23;07205;Jati;7.785
CE;23;07254;Jijoca de Jericoacoara;18.616
CE;23;07304;Juazeiro do Norte;263.704
CE;23;07403;Jucás;24.417
CE;23;07502;Lavras da Mangabeira;31.409
CE;23;07601;Limoeiro do Norte;57.782
CE;23;07635;Madalena;19.225
CE;23;07650;Maracanaú;219.749
CE;23;07700;Maranguape;122.020
CE;23;07809;Marco;26.219
CE;23;07908;Martinópole;10.796
CE;23;08005;Massapê;37.214
CE;23;08104;Mauriti;45.881
CE;23;08203;Meruoca;14.529
CE;23;08302;Milagres;28.419
CE;23;08351;Milhã;13.188
CE;23;08377;Miraíma;13.345
CE;23;08401;Missão Velha;35.150
CE;23;08500;Mombaça;43.557
CE;23;08609;Monsenhor Tabosa;16.998
CE;23;08708;Morada Nova;62.091
CE;23;08807;Moraújo;8.457
CE;23;08906;Morrinhos;21.737
CE;23;09003;Mucambo;14.346
CE;23;09102;Mulungu;12.364
CE;23;09201;Nova Olinda;15.048
CE;23;09300;Nova Russas;31.783
CE;23;09409;Novo Oriente;28.149
CE;23;09458;Ocara;24.979
CE;23;09508;Orós;21.447
CE;23;09607;Pacajus;67.678
CE;23;09706;Pacatuba;79.077
CE;23;09805;Pacoti;11.884
CE;23;09904;Pacujá;6.150
CE;23;10001;Palhano;9.169
CE;23;10100;Palmácia;12.762
CE;23;10209;Paracuru;33.178
CE;23;10258;Paraipaba;31.705
CE;23;10308;Parambu;31.376
CE;23;10407;Paramoti;11.533
CE;23;10506;Pedra Branca;42.696
CE;23;10605;Penaforte;8.743
CE;23;10704;Pentecoste;36.611
CE;23;10803;Pereiro;16.089
CE;23;10852;Pindoretama;19.975
CE;23;10902;Piquet Carneiro;16.318
CE;23;10951;Pires Ferreira;10.616
CE;23;11009;Poranga;12.214
CE;23;11108;Porteiras;15.058
CE;23;11207;Potengi;10.722
CE;23;11231;Potiretama;6.299
CE;23;11264;Quiterianópolis;20.600
CE;23;11306;Quixadá;84.684
CE;23;11355;Quixelô;14.997
CE;23;11405;Quixeramobim;76.386
CE;23;11504;Quixeré;21.410
CE;23;11603;Redenção;27.182
CE;23;11702;Reriutaba;19.145
CE;23;11801;Russas;74.243
CE;23;11900;Saboeiro;15.793
CE;23;11959;Salitre;16.070
CE;23;12205;Santa Quitéria;43.359
CE;23;12007;Santana do Acaraú;31.369
CE;23;12106;Santana do Cariri;17.457
CE;23;12304;São Benedito;45.917
CE;23;12403;São Gonçalo do Amarante;46.783
CE;23;12502;São João do Jaguaribe;7.774
CE;23;12601;São Luís do Curu;12.713
CE;23;12700;Senador Pompeu;26.600
CE;23;12809;Senador Sá;7.290
CE;23;12908;Sobral;199.750
CE;23;13005;Solonópole;18.060
CE;23;13104;Tabuleiro do Norte;30.143
CE;23;13203;Tamboril;25.635
CE;23;13252;Tarrafas;8.923
CE;23;13302;Tauá;57.478
CE;23;13351;Tejuçuoca;18.301
CE;23;13401;Tianguá;72.803
CE;23;13500;Trairi;53.998
CE;23;13559;Tururu;15.413
CE;23;13609;Ubajara;33.505
CE;23;13708;Umari;7.662
CE;23;13757;Umirim;19.437
