ais,municipio,arma_utilizada,natureza_fato,data,sexo_vitima,idade_vitima,id_base,dummy_contagem
AIS 17,Apuiarés,Arma branca,HOMICIDIO DOLOSO,2017-12-10,FEMININO,20,1,1
AIS 14,São Benedito,Outros meios,HOMICIDIO DOLOSO,2017-12-11,FEMININO,45,1,1
AIS 16,Catunda,Outros meios,HOMICIDIO DOLOSO,2017-12-12,FEMININO,16,1,1
AIS 6,Fortaleza,Outros meios,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,44,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,18,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,19,1,1
AIS 5,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,47,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,23,1,1
AIS 19,Crato,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,24,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,21,1,1
AIS 5,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,29,1,1
AIS 15,Aratuba,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,25,1,1
AIS 5,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,31,1,1
AIS 1,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,28,1,1
AIS 7,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,36,1,1
AIS 17,Itapajé,Arma branca,HOMICIDIO DOLOSO,2013-01-01,MASCULINO,60,1,1
AIS 14,Senador Sá,Arma branca,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,32,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,18,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,22,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,20,1,1
AIS 17,Itapajé,Arma branca,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,17,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,18,1,1
AIS 17,Itapajé,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,14,1,1
AIS 20,Morada Nova,Arma de fogo,HOMICIDIO DOLOSO,2013-01-02,MASCULINO,31,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,19,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,26,1,1
AIS 13,Cascavel,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,18,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,20,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,28,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,45,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,19,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,19,1,1
AIS 11,Caucaia,Arma branca,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,33,1,1
AIS 21,Orós,Arma de fogo,HOMICIDIO DOLOSO,2013-01-03,MASCULINO,49,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,17,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,32,1,1
AIS 19,Nova Olinda,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,43,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,17,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,18,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,52,1,1
AIS 20,Quixadá,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,26,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,17,1,1
AIS 4,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-04,MASCULINO,19,1,1
AIS 18,Limoeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-04,FEMININO,19,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,18,1,1
AIS 19,Salitre,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,25,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,20,1,1
AIS 21,Icó,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,27,1,1
AIS 14,Ubajara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,42,1,1
AIS 19,Caririaçu,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,28,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,20,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,22,1,1
AIS 5,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,26,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,31,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-05,MASCULINO,23,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,29,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,27,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,18,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,39,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,18,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,29,1,1
AIS 20,Ibicuitinga,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,30,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,24,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,21,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,25,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,21,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,17,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,FEMININO,32,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,22,1,1
AIS 12,Maracanaú,Arma branca,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,26,1,1
AIS 18,Nova Jaguaribara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,17,1,1
AIS 15,Boa Viagem,Arma de fogo,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,58,1,1
AIS 16,Crateús,Arma branca,HOMICIDIO DOLOSO,2013-01-06,MASCULINO,30,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,40,1,1
AIS 4,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,23,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,22,1,1
AIS 16,Reriutaba,Arma branca,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,34,1,1
AIS 4,Fortaleza,Outros meios,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,43,1,1
AIS 13,Horizonte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,23,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,17,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,19,1,1
AIS 20,Senador Pompeu,Arma de fogo,HOMICIDIO DOLOSO,2013-01-07,MASCULINO,31,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,31,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,27,1,1
AIS 21,Quixelô,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,33,1,1
AIS 12,Maranguape,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,17,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,19,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,22,1,1
AIS 20,Morada Nova,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,40,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,FEMININO,25,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,25,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,15,1,1
AIS 18,São João do Jaguaribe,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,26,1,1
AIS 20,Morada Nova,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,28,1,1
AIS 18,São João do Jaguaribe,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,33,1,1
AIS 13,Eusébio,Arma de fogo,HOMICIDIO DOLOSO,2013-01-08,MASCULINO,20,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,15,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,25,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,15,1,1
AIS 15,Redenção,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,51,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,26,1,1
AIS 13,Eusébio,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,40,1,1
AIS 13,Cascavel,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,18,1,1
AIS 13,Cascavel,Arma de fogo,HOMICIDIO DOLOSO,2013-01-09,MASCULINO,16,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,21,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,16,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,32,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,FEMININO,28,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,18,1,1
AIS 18,Tabuleiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,35,1,1
AIS 18,Tabuleiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,19,1,1
AIS 18,Tabuleiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,20,1,1
AIS 14,Groaíras,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,25,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,27,1,1
AIS 20,Ibicuitinga,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,42,1,1
AIS 22,Arneiróz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,58,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,14,1,1
AIS 16,Crateús,Arma branca,HOMICIDIO DOLOSO,2013-01-10,MASCULINO,59,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,FEMININO,29,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,20,1,1
AIS 15,Aratuba,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,17,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,24,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,18,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,22,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,31,1,1
AIS 19,Caririaçu,Arma branca,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,46,1,1
AIS 19,Brejo Santo,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,27,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,18,1,1
AIS 18,Aracati,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,22,1,1
AIS 16,Independência,Arma de fogo,HOMICIDIO DOLOSO,2013-01-11,MASCULINO,33,1,1
AIS 18,Jaguaruana,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,51,1,1
AIS 20,Solonópole,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,22,1,1
AIS 4,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,19,1,1
AIS 20,Pedra Branca,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,31,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,24,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,FEMININO,26,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,27,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,FEMININO,49,1,1
AIS 15,Redenção,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,49,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,34,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,32,1,1
AIS 14,Ubajara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-12,MASCULINO,41,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,20,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,FEMININO,25,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,43,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,30,1,1
AIS 10,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,24,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,20,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,22,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,20,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,26,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,21,1,1
AIS 20,Morada Nova,Arma de fogo,HOMICIDIO DOLOSO,2013-01-13,MASCULINO,18,1,1
AIS 13,Pacajus,Arma de fogo,HOMICIDIO DOLOSO,2013-01-14,MASCULINO,27,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-14,MASCULINO,19,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-14,MASCULINO,16,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,31,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,16,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,15,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,39,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,49,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,18,1,1
AIS 18,Quixeré,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,27,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-15,MASCULINO,43,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,46,1,1
AIS 13,Eusébio,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,18,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,29,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,26,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,26,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,24,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,20,1,1
AIS 19,Missão Velha,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,42,1,1
AIS 18,Russas,Arma de fogo,HOMICIDIO DOLOSO,2013-01-16,MASCULINO,37,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-17,MASCULINO,23,1,1
AIS 12,Itaitinga,Arma de fogo,HOMICIDIO DOLOSO,2013-01-17,MASCULINO,31,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-17,FEMININO,29,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,45,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,31,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,19,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,19,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,19,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,17,1,1
AIS 21,Acopiara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,18,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,28,1,1
AIS 19,Juazeiro do Norte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,21,1,1
AIS 12,Maranguape,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,15,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,33,1,1
AIS 18,São João do Jaguaribe,Arma de fogo,HOMICIDIO DOLOSO,2013-01-18,MASCULINO,55,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,20,1,1
AIS 4,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,46,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,17,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,17,1,1
AIS 19,Barbalha,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,24,1,1
AIS 13,Aquiraz,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,37,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,29,1,1
AIS 17,Pentecoste,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,60,1,1
AIS 19,Barbalha,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,27,1,1
AIS 21,Iguatu,Arma de fogo,HOMICIDIO DOLOSO,2013-01-19,MASCULINO,19,1,1
AIS 2,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-20,FEMININO,31,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,30,1,1
AIS 14,Sobral,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,24,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,23,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,42,1,1
AIS 19,Crato,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,41,1,1
AIS 21,Acopiara,Arma branca,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,37,1,1
AIS 19,Crato,Arma branca,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,27,1,1
AIS 14,Ubajara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,26,1,1
AIS 20,Quixadá,Arma branca,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,43,1,1
AIS 19,Santana do Cariri,Arma branca,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,48,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,37,1,1
AIS 22,Tauá,Arma branca,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,22,1,1
AIS 22,Mombaça,Arma branca,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,21,1,1
AIS 11,São Gonçalo do Amarante,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,36,1,1
AIS 13,Horizonte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-20,MASCULINO,19,1,1
AIS 19,Crato,Outros meios,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,36,1,1
AIS 4,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,17,1,1
AIS 13,Eusébio,Arma de fogo,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,35,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,17,1,1
AIS 6,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,25,1,1
AIS 19,Juazeiro do Norte,Arma branca,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,22,1,1
AIS 21,Iguatu,Outros meios,HOMICIDIO DOLOSO,2013-01-21,MASCULINO,32,1,1
AIS 21,Icó,Meio não informado,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,27,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,44,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,23,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,25,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,29,1,1
AIS 3,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,FEMININO,13,1,1
AIS 17,Pentecoste,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,58,1,1
AIS 12,Maracanaú,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,45,1,1
AIS 13,Horizonte,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,19,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-22,MASCULINO,21,1,1
AIS 14,Sobral,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,36,1,1
AIS 6,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,17,1,1
AIS 13,Eusébio,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,17,1,1
AIS 7,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,20,1,1
AIS 2,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,14,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,33,1,1
AIS 13,Eusébio,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,20,1,1
AIS 1,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,30,1,1
AIS 19,Araripe,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,21,1,1
AIS 15,Ocara,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,37,1,1
AIS 4,Fortaleza,Arma branca,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,18,1,1
AIS 16,Ararendá,Arma de fogo,HOMICIDIO DOLOSO,2013-01-23,MASCULINO,38,1,1
AIS 19,Crato,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,31,1,1
AIS 4,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,16,1,1
AIS 11,Caucaia,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,30,1,1
AIS 8,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,22,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,19,1,1
AIS 9,Fortaleza,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,34,1,1
AIS 19,Barbalha,Arma de fogo,HOMICIDIO DOLOSO,2013-01-24,MASCULINO,51,1,1
